,GERMANY.docx,INDIA.docx,ITALY.docx,PORTUGAL.docx,GREECE.docx,KENYA.docx,MEXICO.docx,AUSTRIA.docx,ICELAND.docx,DENMARK.docx,AUSTRALIA.docx,MADAGASCAR.docx,IRAN.docx,USA.docx,JAPAN.docx,CHINA.docx,ENGLAND.docx,SAUDI_ARABIA.docx,SPAIN.docx,MALAYSIA.docx,BRAZIL.docx,FRANCE.docx,TURKEY.docx
GERMANY.docx,1.0000000000000016,0.11923451778912768,0.10108945905771366,0.105763480926388,0.11798767246653705,0.09555204941544355,0.07557823421528627,0.13711559839991902,0.06682277568649554,0.10052003954308303,0.09617133234830595,0.06773485449098884,0.09492967009416818,0.09856510646535914,0.09078956823011217,0.12255324063698396,0.1376488067129388,0.07895406160624226,0.12807907609143077,0.057476562609270136,0.08948859012353093,0.13076103794505659,0.11011355247123447
INDIA.docx,0.11923451778912768,1.000000000000001,0.13600721264779309,0.1149600495773162,0.13887776005794228,0.14881884148862995,0.12793845044688743,0.11918841951337902,0.09670217102029761,0.14192344869876258,0.1127971542449225,0.12058325790060744,0.16904167073242612,0.14437789905960544,0.12062622555887566,0.1940670399412663,0.1821144513657534,0.12823030439681798,0.15759347971787657,0.10362733981270678,0.12465634423698765,0.15341990775538764,0.16133935680907355
ITALY.docx,0.10108945905771366,0.13600721264779309,0.9999999999999991,0.10195239397761714,0.12198158097065306,0.09264359656890336,0.09061585797886214,0.10117387965563426,0.0896088387966975,0.1071451176498094,0.09264133238621641,0.08020791243634248,0.10771426956988862,0.11651714140012107,0.10551597953735535,0.12960356058504802,0.154566363763621,0.07925661624155636,0.17872004822240012,0.06133135449186814,0.09469954684358274,0.16771432166468747,0.12809407985727925
PORTUGAL.docx,0.105763480926388,0.1149600495773162,0.10195239397761714,0.9999999999999999,0.11955418936239698,0.10333147456443588,0.07324017744634034,0.10006536327127476,0.06111426685084778,0.09133064135684257,0.1055092077721425,0.06945292497956078,0.07956648171260057,0.07639187198136922,0.07336339957738285,0.10760526279611073,0.11575924332362235,0.07764163140890429,0.1310717281668729,0.06328331263756795,0.08398358566205144,0.11708449533693864,0.10363876709386269
GREECE.docx,0.11798767246653705,0.13887776005794228,0.12198158097065306,0.11955418936239698,0.9999999999999647,0.09607656803104975,0.09247121894622984,0.11329676053832599,0.09174512982613907,0.11071296507278607,0.12352704888057071,0.08262439101161549,0.12226749358673057,0.11940243286390519,0.10613284011851175,0.13305309314631877,0.16335668468019182,0.09281655071326414,0.15745827524874265,0.07081212545029034,0.09713162359735303,0.1241784013236849,0.15618337515708686
KENYA.docx,0.09555204941544355,0.14881884148862995,0.09264359656890336,0.10333147456443588,0.09607656803104975,0.9999999999999556,0.09626789670233961,0.08555638236363748,0.08679314351783592,0.10056346086545932,0.11007949209416974,0.09746142110481636,0.1411647756329509,0.10362712898824279,0.08288341457167811,0.12799670832701932,0.129919837061187,0.1278320933301309,0.1153132087930069,0.06878023239966856,0.10444060269551181,0.10259363442714783,0.12178795051617013
MEXICO.docx,0.07557823421528627,0.12793845044688743,0.09061585797886214,0.07324017744634034,0.09247121894622984,0.09626789670233961,1.0000000000000069,0.07084008079585591,0.07251419713813792,0.09799491072477443,0.08075448075241362,0.07252635319969097,0.1354025951217603,0.13843998415851322,0.08104596595656939,0.11439539368472898,0.12566277535268278,0.09161142127542167,0.11148492560396758,0.0566395709741534,0.12170702832219799,0.10458248481425324,0.1176676732379187
AUSTRIA.docx,0.13711559839991902,0.11918841951337902,0.10117387965563426,0.10006536327127476,0.11329676053832599,0.08555638236363748,0.07084008079585591,0.999999999999997,0.06296272126845757,0.08982457191006689,0.08890989531638062,0.07014804498904206,0.09551152562327482,0.08967892497257034,0.085042566334216,0.12488363883499103,0.12367393727345644,0.07202994592649102,0.13021002864671194,0.048537162185409675,0.07769550050168364,0.1336874022244945,0.12262684353404797
ICELAND.docx,0.06682277568649554,0.09670217102029761,0.0896088387966975,0.06111426685084778,0.09174512982613907,0.08679314351783592,0.07251419713813792,0.06296272126845757,1.0000000000000002,0.12230284348186445,0.061680214266664424,0.05943737876177518,0.11230295753819301,0.13233546575790953,0.09222680396494033,0.09322187966515252,0.11674762120480014,0.06270457055309801,0.09356450359372588,0.04570408109165189,0.08092969405749129,0.09086612844775512,0.10395469544358019
DENMARK.docx,0.10052003954308303,0.14192344869876258,0.1071451176498094,0.09133064135684257,0.11071296507278607,0.10056346086545932,0.09799491072477443,0.08982457191006689,0.12230284348186445,1.000000000000001,0.09300097252491632,0.08681383164945929,0.129544353441167,0.12053871973384557,0.09603788282292992,0.14363544755265167,0.1769298609344366,0.09580304558792244,0.1300891343909428,0.05999972009347337,0.1034042721172126,0.12960943401315464,0.14296238326746386
AUSTRALIA.docx,0.09617133234830595,0.1127971542449225,0.09264133238621641,0.1055092077721425,0.12352704888057071,0.11007949209416974,0.08075448075241362,0.08890989531638062,0.061680214266664424,0.09300097252491632,0.9999999999999876,0.07713346874447465,0.0932811868356226,0.09830999338150011,0.0735886719712919,0.10978261143409693,0.10663262473406543,0.08906382822899735,0.10545098983599505,0.07145766370895631,0.09431710561193005,0.09676650185454078,0.09222846372818513
MADAGASCAR.docx,0.06773485449098884,0.12058325790060744,0.08020791243634248,0.06945292497956078,0.08262439101161549,0.09746142110481636,0.07252635319969097,0.07014804498904206,0.05943737876177518,0.08681383164945929,0.07713346874447465,1.000000000000002,0.0802805656215426,0.09178715175181344,0.07971294713170378,0.10721084322993446,0.11150194782138634,0.07016561195721548,0.09477438743872382,0.05798621019662776,0.09513643221679521,0.0955593963064109,0.09356711999983623
IRAN.docx,0.09492967009416818,0.16904167073242612,0.10771426956988862,0.07956648171260057,0.12226749358673057,0.1411647756329509,0.1354025951217603,0.09551152562327482,0.11230295753819301,0.129544353441167,0.0932811868356226,0.0802805656215426,1.0000000000000029,0.14069337831616172,0.11167243177196094,0.1608550493364248,0.17151609925628392,0.16629878759481379,0.12057363829358887,0.0624529634249683,0.12095677198937115,0.11669033365777048,0.19115984979320305
USA.docx,0.09856510646535914,0.14437789905960544,0.11651714140012107,0.07639187198136922,0.11940243286390519,0.10362712898824279,0.13843998415851322,0.08967892497257034,0.13233546575790953,0.12053871973384557,0.09830999338150011,0.09178715175181344,0.14069337831616172,0.9999999999999989,0.129112890425096,0.136680043910997,0.18439640641290947,0.08830892552468587,0.1266805801840352,0.06527770099093043,0.19673342293375837,0.13233687227068644,0.13610211846653453
JAPAN.docx,0.09078956823011217,0.12062622555887566,0.10551597953735535,0.07336339957738285,0.10613284011851175,0.08288341457167811,0.08104596595656939,0.085042566334216,0.09222680396494033,0.09603788282292992,0.0735886719712919,0.07971294713170378,0.11167243177196094,0.129112890425096,0.9999999999999974,0.16251610799219043,0.13435065674082572,0.06702798043565111,0.12662707913818882,0.06394165851937711,0.08974713937521568,0.12075645055386892,0.12006079617219763
CHINA.docx,0.12255324063698396,0.1940670399412663,0.12960356058504802,0.10760526279611073,0.13305309314631877,0.12799670832701932,0.11439539368472898,0.12488363883499103,0.09322187966515252,0.14363544755265167,0.10978261143409693,0.10721084322993446,0.1608550493364248,0.136680043910997,0.16251610799219043,1.0000000000000002,0.1823934730237743,0.11222585086187029,0.16162650507554144,0.11324390330848937,0.11383232151317872,0.15497306426801877,0.16404262151238402
ENGLAND.docx,0.1376488067129388,0.1821144513657534,0.154566363763621,0.11575924332362235,0.16335668468019182,0.129919837061187,0.12566277535268278,0.12367393727345644,0.11674762120480014,0.1769298609344366,0.10663262473406543,0.11150194782138634,0.17151609925628392,0.18439640641290947,0.13435065674082572,0.1823934730237743,1.0000000000000004,0.11738832686778258,0.1921686126766286,0.06949606637989021,0.15497100992849333,0.187839599906883,0.19097007389867293
SAUDI_ARABIA.docx,0.07895406160624226,0.12823030439681798,0.07925661624155636,0.07764163140890429,0.09281655071326414,0.1278320933301309,0.09161142127542167,0.07202994592649102,0.06270457055309801,0.09580304558792244,0.08906382822899735,0.07016561195721548,0.16629878759481379,0.08830892552468587,0.06702798043565111,0.11222585086187029,0.11738832686778258,1.0000000000000033,0.09655308986399588,0.06328817318526321,0.08316202628265643,0.08499833143555532,0.1222533257451834
SPAIN.docx,0.12807907609143077,0.15759347971787657,0.17872004822240012,0.1310717281668729,0.15745827524874265,0.1153132087930069,0.11148492560396758,0.13021002864671194,0.09356450359372588,0.1300891343909428,0.10545098983599505,0.09477438743872382,0.12057363829358887,0.1266805801840352,0.12662707913818882,0.16162650507554144,0.1921686126766286,0.09655308986399588,1.0000000000000033,0.07464354304331626,0.10875696523584526,0.2426204795293904,0.15330831047305543
MALAYSIA.docx,0.057476562609270136,0.10362733981270678,0.06133135449186814,0.06328331263756795,0.07081212545029034,0.06878023239966856,0.0566395709741534,0.048537162185409675,0.04570408109165189,0.05999972009347337,0.07145766370895631,0.05798621019662776,0.0624529634249683,0.06527770099093043,0.06394165851937711,0.11324390330848937,0.06949606637989021,0.06328817318526321,0.07464354304331626,0.999999999999998,0.061035274189335666,0.05738116497381051,0.05542620998432888
BRAZIL.docx,0.08948859012353093,0.12465634423698765,0.09469954684358274,0.08398358566205144,0.09713162359735303,0.10444060269551181,0.12170702832219799,0.07769550050168364,0.08092969405749129,0.1034042721172126,0.09431710561193005,0.09513643221679521,0.12095677198937115,0.19673342293375837,0.08974713937521568,0.11383232151317872,0.15497100992849333,0.08316202628265643,0.10875696523584526,0.061035274189335666,1.0000000000000016,0.10476850234319389,0.10988812355877202
FRANCE.docx,0.13076103794505659,0.15341990775538764,0.16771432166468747,0.11708449533693864,0.1241784013236849,0.10259363442714783,0.10458248481425324,0.1336874022244945,0.09086612844775512,0.12960943401315464,0.09676650185454078,0.0955593963064109,0.11669033365777048,0.13233687227068644,0.12075645055386892,0.15497306426801877,0.187839599906883,0.08499833143555532,0.2426204795293904,0.05738116497381051,0.10476850234319389,1.0000000000000036,0.1563162758774482
TURKEY.docx,0.11011355247123447,0.16133935680907355,0.12809407985727925,0.10363876709386269,0.15618337515708686,0.12178795051617013,0.1176676732379187,0.12262684353404797,0.10395469544358019,0.14296238326746386,0.09222846372818513,0.09356711999983623,0.19115984979320305,0.13610211846653453,0.12006079617219763,0.16404262151238402,0.19097007389867293,0.1222533257451834,0.15330831047305543,0.05542620998432888,0.10988812355877202,0.1563162758774482,0.9999999999999989
